STATION,Official Lat they sent,Official Lon they sent,Our Google Lat ,Our Google Lon,Distance between both
DDC,37.77,-99.97,37.75558,-99.96764,1.617225237
DLH,46.83,-92.18,46.84172,-92.17841,1.308222474
DUS,,,51.28278,6.76227,
EAU,44.87,-91.48,44.86299,-91.47948,0.780704985
EDI,,,55.94825,-3.364112,
YEG,53.3,-113.58,53.30804,-113.5838,0.928160279
YXD,53.57,-113.52,53.54439,-113.4909,3.434675255
ELB,,,55.76667,52.06667,
EKO,40.83,-115.78,40.82431,-115.7915,1.159010501
ELM,,,42.08847,-76.81633,
ELP,31.8,-106.4,31.79885,-106.395,0.490553627
NZJ,33.67,-117.73,33.64697,-117.6892,4.561792996
ELY,39.28,-114.85,39.29947,-114.8348,2.53043309
ERI,42.08,-80.18,42.08301,-80.18182,0.36630481
EUG,44.12,-123.22,44.1204,-123.2111,0.710871729
WEU,79.98,-85.93,48.87996,-115.0535,3632.656895
EVV,38.05,-87.53,38.04699,-87.52938,0.338601899
FAI,64.82,-147.87,64.81779,-147.8676,0.269801389
FAR,46.9,-96.8,46.87719,-96.7898,2.652772192
FAO,,,37.02077,-7.969421,
FNT,42.97,-83.75,42.97246,-83.7506,0.27753533
GTB,,,44.05895,-75.71078,
FRA,,,50.03793,8.562152,
YFC,45.87,-66.53,45.87291,-66.52999,0.324070225
FAT,36.78,-119.72,36.76996,-119.72,1.116429381
YMM,56.65,-111.22,56.65636,-111.2239,0.745836169
FMY,26.58,-81.87,26.5852,-81.86359,0.861020346
YYE,58.83,-122.58,58.83825,-122.5963,1.311012122
YFS,61.75,-121.23,61.76038,-121.237,1.211472968
FSM,35.33,-94.37,35.34086,-94.35901,1.565848421
YSM,60.02,-111.95,60.01951,-111.9583,0.462727415
FWA,41,-85.2,40.98647,-85.18815,1.80383463
YQX,48.95,-54.57,48.94267,-54.55595,1.310970311
KAG,,,37.75333,128.9436,
GVA,,,46.23709,6.108843,
GIB,,,36.1533,-5.347976,
GGW,48.2,-106.62,48.21278,-106.6156,1.458301883
GLA,,,55.86465,-4.43209,
GFL,,,43.30952,-73.644,
NBU,42.08,-87.82,42.09056,-87.8225,1.191721186
GLD,39.37,-101.7,39.37056,-101.6989,0.11348274
YYR,53.32,-60.42,53.31124,-60.40319,1.481385632
YZE,45.88,-82.57,45.88528,-82.56778,0.611288073
GRI,40.97,-98.32,40.96927,-98.31869,0.136756599
GJT,39.12,-108.53,39.12225,-108.5289,0.267312862
GRR,42.88,-85.52,42.88469,-85.52949,0.932852456
GTF,47.48,-111.37,47.48193,-111.3566,1.027085859
GRB,44.5,-88.12,44.49197,-88.12751,1.07286893
GSO,36.08,-79.95,36.1057,-79.93706,3.084732427
GSP,34.9,-82.22,34.8908,-82.2173,1.051931168
