PWM 43.65 -70.30
RAP 44.05 -103.07
RDM 44.25 -121.15
RDU 35.87 -78.78
RFD 42.20 -89.10
RIC 37.5  -77.33
RKS 41.60 -109.07
RNO 39.50 -119.78
ROA 37.32 -79.97
ROC 43.13 -77.67
RSL 38.87 -98.82
RST 43.92 -92.50
ROW 33.30 -104.53
SAC 38.52 -121.50
SAN 32.73 -117.17
SAT 29.53 -98.47
SAV 32.13 -81.2
SBN 41.70 -86.32
SDF 38.18 -85.73
SEA 47.45 -122.30
SFO 37.62 -122.38
SGF 37.23 -93.38
SHR 44.77 -106.97
SHV 32.47 -93.82
SJT 31.37 -100.50
SLC 40.78 -111.95
SLE 44.92 -123.00
SNP 57.15 -170.22
SPI 39.85 -89.68
SPS 33.97 -98.48
ANJ 46.47 -84.35
STL 38.75 -90.37
SUX 42.40 -96.38
SYR 43.12 -76.12
TKA 62.3  -150.1
TLH 30.38 -84.37
TOL 41.60 -83.80
TOP 39.07 -95.63
TPA 27.97 -82.53
TRI 36.48 -82.40
TUL 36.20 -95.90
TUS 32.13 -110.93
TVC 44.73 -85.58
TYS 35.83 -83.98
UGM 19.90 -75.15
UIL 47.95 -124.55
VCT 28.85 -96.92
YMD 76.23 -119.33
YAK 59.52 -139.67
YAM 46.48 -84.50
YBG 48.33 -71.00
YBK 64.30 -96.08
YCB 69.10 -105.12
YCH 47.02 -65.45
YCY 70.48 -68.52
WDL 58.42 -130.00
YEG 53.30 -113.58
WEU 79.98 -85.93
YEV 68.30 -133.48
YFB 63.75 -68.55
YFC 45.87 -66.53
YFS 61.75 -121.23
YGW 55.28 -77.77
YHO 55.45 -60.22
YHZ 44.63 -63.50
YJT 48.53 -58.55
YKA 50.70 -120.45
YKL 54.80 -66.82
YKM 46.57 -120.53
YLT 82.50 -62.33
YMA 63.62 -135.87
YMM 56.65 -111.22
YNA 50.18 -61.82
YNG 41.25 -80.67
YNI 53.20 -70.90
YPA 53.22 -105.68
YPE 56.23 -117.43
YPH 58.45 -78.12
YPR 54.30 -130.43
WMJ 46.38 -75.97
YQB 46.80 -71.38
YQD 53.97 -101.10
YQH 60.12 -128.82
YQL 49.63 -112.80
YQR 50.43 -104.67
YQT 48.37 -89.32
YQX 48.95 -54.57
YQY 46.17 -60.05
YRB 74.72 -94.98
YRF 53.70 -57.03
WSA 43.93 -60.02
YSM 60.02 -111.95
YSY 72.00 -125.27
YTH 55.80 -97.87
YTL 53.83 -89.87
YYZ 43.67 -79.63
YUL 45.47 -73.75
NYL 32.65 -114.6
YUX 68.78 -81.25
YVC 55.15 -105.27
YVP 58.10 -68.42
YVQ 65.28 -126.80
YVR 49.18 -123.17
YWG 49.90 -97.23
YWK 52.93 -66.87
YXD 53.57 -113.52
YXL 50.12 -91.90
YXS 53.88 -122.68
YXU 43.03 -81.15
YXY 60.72 -135.07
YYB 46.35 -79.43
YYC 51.12 -114.02
YYE 58.83 -122.58
YYF 49.47 -119.60
YYG 46.28 -63.13
YYJ 48.65 -123.43
YYL 56.87 -101.08
YYQ 58.73 -94.07
YYR 53.32 -60.42
YYT 47.62 -52.73
YYU 49.42 -82.47
YZE 45.88 -82.57
YZF 62.47 -114.45
YZP 53.25 -131.82
YZS 64.20 -83.37
YZV 50.22 -66.27
