Dusseldorf , Germany	DUS	1973-2000
Eau Claire , WI	EAU	1950-2013
Edinburgh , Scotland	EDI	1973-2000 2003-2013
Edmonton - Int. , AB	YEG	1961-2010
Edmonton - Mun. , AB	YXD	1950-2013
Elabuga , Russia	ELB	1966-1996 2000-2007 20092010
Elko , NV	EKO	1948-1986 1988-1992 1994-2013
Elmira , NY	ELM	1973-1994 1996-2013
El Paso , TX	ELP	1941-1944 1948-2013
El Toro , CA	NZJ	1945-1997
Ely , NV	ELY	1953-1957 1962-2013
Erie , PA	ERI	1948-2013
Eugene , OR	EUG	1948-1954 1964-2013
Eureka , NT	WEU	1954-2013
Evansville , IN	EVV	1948-1964 1970-2013
Fairbanks , AK	FAI	1941-1964 1973-2013
Fargo , ND	FAR	1948-2013
Faro , Portugal	FAO	1973-2013
Flint , MI	FNT	1949-2013
Fort Drum , NY	GTB	1942 19441945 1989-2013
Frankfurt , Germany	FRA	1960-1970 1973-2000
Fredericton , NB	YFC	1953-2010
Fresno , CA	FAT	1942-1945 1950-2013
Ft. McMurray , AB	YMM	1944 1953-2013
Ft. Myers , FL	FMY	1943-1945 1948-1954 1965-1972 1976-1995 1998-2013
Ft. Nelson , BC	YYE	1942-1943 1953-2013
Ft. Simpson , NT	YFS	1957-2013
Ft. Smith , AR	FSM	1943-1945 1948-2013
Ft. Smith , NT	YSM	1953-2013
Ft. Wayne , IN	FWA	1942-1945 1948-2013
Gander , NF	YQX	1942-1945 1947 1949 1953-2010
Gangneung , Korea	KAG	1965-2013
Geneva , Switzerland	GVA	1973-2013
Gibraltar ,	GIB	1922-2013
Glasgow , MT	GGW	1956-1957 1968-1970 1972-2013
Glasgow , Scotland	GLA	1973-2000 2002-2013
Glens Falls , NY	GFL	1973-2009
Glenview , IL	NBU	1952-1971 1981-1994
Goodland , KS	GLD	1948-1969 1973-2013
Goose Bay , NF	YYR	1942 1946-2010
Gore Bay , ON	YZE	1953-1991 1994-2013
Grand Island , NE	GRI	1934-1943 1946-2013
Grand Junction , CO	GJT	1948-1953 1956-2013
Grand Rapids , MI	GRR	1964-2013
Great Falls , MT	GTF	1948-2013
Green Bay , WI	GRB	1950-1953 1956-2013
Greensboro , NC	GSO	1946-2013
Greenville - Spartanburg, SC	GSP	1963-2013
Guantanamo Bay , CU	UGM	1945-1993 1995 19971998 2000 2002-2013
Gwangju , Korea	KWJ	1965-2013
Halifax , NS	YHZ	1949 1952-2010
Hall Beach , NT	YUX	1956-1995 1999-2013
Harrisburg , PA	CXY	1948-1983 1985-1991 2003-2013
Hartford , CT	BDL	1942-1945 1949-2013
Helena , MT	HLN	1948-1987 1989-2013
Hilo , HI	HTO	1950-2013
Homer , AK	HOM	1949-1964 1973-2013
Honolulu , HI	HNL	1950-2013
Hopedale , NF	YHO	1955-1984
Houghton , MI	CMX	1948-1964 1974 1977-1981 1988-2013
Houston , TX	IAH	1969-2013
Huntington , WV	HTS	1962-2013
Huntsville , AL	HSV	1959-2013
Huron , SD	HON	1940-1942 1944-2013
Incheon , Korea	ICN	1965-2013
Indianapolis , IN	IND	1943-1945 1948-2013
Innsbruck , Austria	INN	1973-2013
International Falls , MN	INL	1956-1964 1973-2013
